X1,X2,X3,X4,X5,X6,Y
1.35,0.87,0.89,1.12,2,1,6.235
1.35,0.85,0.89,1.13,2,2,6.214
1.35,0.86,0.89,1.3,2,3,6.193
1,0.55,1,1.66,2,4,5.316
1,0.53,1,2.01,2,5,5.2688
1,0.53,1,1.55,2,6,5.2819
1,0.62,1,2.2,2,7,5.519
1,0.69,1,1.96,2,8,5.681
1,0.61,1,1.54,2,9,5.4537
1,0.58,1,1.63,2,10,5.352
1,0.72,1,1.33,2,11,5.7616
0.95,0.61,1.69,1.54,2,12,5.4215
1.01,0.64,1.12,1.63,3,13,5.557
0.5,0.65,2.55,1.88,4,14,5.9297
0.97,0.65,2.1,1.88,4,15,6.0169
0.91,0.65,1.22,1.83,3,16,5.598
0.91,0.65,1.22,1.55,3,17,5.828
0.91,0.56,1.22,1.91,3,18,5.5056
0.91,0.64,1.22,1.63,3,19,5.598
0.89,0.65,1.24,1.83,3,20,5.582
0.89,0.64,1.24,1.63,3,21,5.598
0.95,0.65,1.1,1.83,3,22,5.606
0.95,0.65,1.1,1.55,3,23,5.842
0.95,0.56,1.1,1.91,3,24,5.4586
0.94,0.65,1.2,1.83,3,25,5.611
0.94,0.56,1.2,1.91,3,26,5.4854
0.94,0.67,1.2,1.54,3,27,5.691
0.94,0.64,1.2,1.63,3,28,5.62
0.89,0.65,1.23,1.83,3,29,5.591
0.89,0.65,1.23,1.55,3,30,5.831
1.03,0.62,1.1,1.66,3,31,5.4797
1.03,0.89,1.1,1.24,3,32,6.07
1.03,0.65,1.1,1.83,3,33,5.5652
1.03,0.65,1.1,1.55,3,34,5.7478
1.03,0.68,1.1,2.2,3,35,5.6847
1.03,0.67,1.1,1.54,3,36,5.753
1.03,0.88,1.1,1.25,3,37,6.052
1.03,0.64,1.1,1.63,3,38,5.543
0.5,0.72,2.55,1.31,4,39,5.9246
0.5,0.83,2.55,1.55,4,40,6.0945
0.97,0.83,2.1,1.55,4,41,6.144
1.02,0.95,0.93,2.66,1,42,6.3953
0.98,0.65,1.14,1.83,3,43,5.5835
0.98,0.65,1.14,1.55,3,44,5.854
0.98,0.67,1.14,1.54,3,45,5.707
0.98,0.64,1.14,1.63,3,46,5.579
0.5,0.69,2.55,1.91,4,47,5.8803
0.97,0.69,2.1,1.91,4,48,5.956
0.99,0.65,1.13,1.83,3,49,5.591
0.99,0.65,1.13,1.55,3,50,5.787
0.99,0.56,1.13,1.91,3,51,5.4193
0.96,0.54,1.17,1.61,3,52,5.291
0.96,0.65,1.17,1.83,3,53,5.597
0.96,0.56,1.17,1.91,3,54,5.4289
0.96,0.67,1.17,1.54,3,55,5.665
1.18,0.87,0.95,1.12,2,56,6.145
1.18,0.71,0.95,1.3,2,57,5.7646
1.18,0.63,0.95,2.2,2,58,5.58
1.18,0.78,0.95,1.8,2,59,5.9544
1.18,0.85,0.95,1.13,2,60,6.1168
1.18,0.62,0.95,2.2,2,61,5.541
1.18,0.69,0.95,1.96,2,62,5.6974
1.18,0.72,0.95,1.33,2,63,5.815
0.92,0.54,1.1,1.61,3,64,5.3058
0.92,0.65,1.1,1.83,3,65,5.5978
0.92,0.65,1.1,1.55,3,66,5.831
0.92,0.64,1.1,1.63,3,67,5.606
0.88,0.65,1.25,1.83,3,68,5.576
0.88,0.64,1.25,1.63,3,69,5.573
0.86,0.54,1.1,1.61,3,70,5.331
0.86,0.65,1.1,1.83,3,71,5.557
0.86,0.64,1.1,1.63,3,72,5.563
0.9,0.62,1.22,1.66,3,73,5.521
0.9,0.65,1.22,1.83,3,74,5.587
0.9,0.67,1.22,1.54,3,75,5.6901
1,0.62,1.3,1.66,3,76,5.51
0.86,0.62,1,1.66,3,77,5.497
0.86,0.62,1.1,1.66,3,78,5.51
0.88,0.62,1.25,1.66,3,79,5.508
0.89,0.62,1.23,1.66,3,80,5.519
0.92,0.62,1.1,1.66,3,81,5.518
0.95,0.62,1.1,1.66,3,82,5.515
0.96,0.62,1.17,1.66,3,83,5.508
0.97,0.62,1.1,1.66,3,84,5.49
1.01,0.62,1.12,1.66,3,85,5.475
0.99,0.62,1.13,1.66,3,86,5.479
0.98,0.62,1.14,1.66,3,87,5.4798
0.89,0.62,1.24,1.66,3,88,5.516
0.91,0.62,1.22,1.66,3,89,5.525
0.94,0.62,1.2,1.66,3,90,5.515
0.98,0.56,1.14,1.91,3,91,5.4042
0.99,0.68,1.13,2.2,3,92,5.8344
1.01,0.65,1.12,1.83,3,93,5.536
0.89,0.54,1.23,1.61,3,94,5.322
0.88,0.54,1.25,1.61,3,95,5.33
0.86,0.65,1,1.83,3,96,5.547
1.03,0.67,1.1,2.28,3,97,5.679
1.01,0.67,1.12,1.54,3,98,5.757
0.99,0.64,1.13,1.63,3,99,5.562
0.99,0.67,1.13,2.28,3,100,5.747
0.99,0.67,1.13,1.54,3,101,5.724
0.98,0.67,1.14,2.28,3,102,5.755
0.96,0.64,1.17,1.63,3,103,5.588
0.96,0.65,1.17,1.55,3,104,5.843
0.96,0.67,1.17,2.28,3,105,5.761
0.95,0.67,1.1,2.28,3,106,5.761
0.94,0.65,1.2,1.55,3,107,5.853
0.94,0.67,1.2,2.28,3,108,5.761
0.92,0.67,1.1,2.28,3,109,5.749
0.92,0.67,1.1,1.54,3,110,5.648
0.91,0.67,1.22,2.28,3,111,5.731
0.91,0.67,1.22,1.54,3,112,5.659
0.89,0.67,1.23,2.28,3,113,5.726
0.89,0.67,1.23,1.54,3,114,5.665
0.89,0.67,1.24,2.28,3,115,5.712
0.89,0.67,1.24,1.54,3,116,5.657
0.88,0.67,1.25,1.54,3,117,5.647
0.86,0.67,1.1,1.54,3,118,5.633
0.86,0.67,1,1.54,3,119,5.633
0.9,0.64,1.22,1.63,3,120,5.605
0.9,0.65,1.22,1.55,3,121,5.83
0.98,0.64,0.89,1.63,3,122,5.58
1,0.64,1.3,1.63,3,123,5.61
1.03,0.75,1.1,1.36,3,124,5.787
1.03,0.8,1.1,1.78,3,125,5.914
1.03,0.86,1.1,1,3,126,6.009
0.99,0.55,1.13,1.88,3,127,5.373
0.99,0.75,1.13,1.36,3,128,5.776
0.99,0.86,1.13,1,3,129,5.977
0.98,0.55,1.14,1.88,3,130,5.336
0.98,0.75,1.14,1.36,3,131,5.771
0.98,0.8,1.14,1.78,3,132,5.891
0.97,0.75,1.1,1.36,3,133,5.79
0.97,0.8,1.1,1.78,3,134,5.9
0.96,0.55,1.17,1.88,3,135,5.354
0.96,0.75,1.17,1.36,3,136,5.76
0.96,0.8,1.17,1.78,3,137,5.886
0.95,0.75,1.1,1.36,3,138,5.76
0.94,0.55,1.2,1.88,3,139,5.404
0.94,0.75,1.2,1.36,3,140,5.756
0.91,0.75,1.22,1.36,3,141,5.71
0.89,0.75,1.23,1.36,3,142,5.71
0.86,0.75,1.22,1.36,3,143,5.721
1.03,0.86,1.1,1.33,3,144,6.028
1.03,0.89,1.1,1.23,3,145,6.092
1.03,0.9,1.1,1.22,3,146,6.087
1,0.65,1,2.16,2,147,5.58
1,0.68,1,1.6,2,148,5.6525
1,0.71,1,1.3,2,149,5.732
1,0.89,1,1.7,2,150,5.97
0.95,0.69,1.69,1.96,2,151,5.577
1.35,0.78,0.89,1.8,2,152,6.065
1.18,0.63,0.95,2.2,2,153,5.6
1.02,0.64,0.93,1.5,1,154,5.513
1.02,0.64,0.93,1.6,1,155,5.57
1.02,0.76,0.93,1.7,1,156,5.905
1.02,0.78,0.93,1.5,1,157,5.97
1.18,0.68,0.95,1.6,2,158,5.6944
1,0.59,1,1.83,2,159,5.352
0.89,0.56,1.8,1.91,3,160,5.3677
0.89,0.65,1.8,1.83,3,161,5.4465
