X1,X2,X3,X4,X5,Y
818,0.03,684,37.6,1,96.2
697,0.039,361,37.2,2,70.1
791,0.066,326,63.2,3,109
733,0.053,396,20.1,4,82
659,0.033,505,0,5,75
700,0.025,578,0,6,86.6
888,0.045,368,74.3,7,96.2
500,0.046,263,26,8,55.5
645,0.051,349,23.5,9,82
493,0.04,355,0,10,52.1
498,0.042,331,0,11,57.6
506,0.045,339,0,12,55.7
532,0.04,346,0,13,60.6
613,0.058,303,26,14,69.7
574,0.046,334,17.1,15,67.2
594,0.054,303,17.1,16,66.2
595,0.052,341,38.8,17,68.1
667,0.054,286,36.4,18,72.1
518,0.037,342,12,19,63.6
519,0.055,319,12,20,65.5
636,0.076,290,38.1,21,77.8
528,0.046,310,11.4,22,60.4
557,0.042,350,11.8,23,68.9
489,0.027,322,0,24,52.3
556,0.043,358,0,25,61.2
698,0.028,566,0,26,83.2
854,0.077,458,38.1,27,108
694,0.031,513,12,28,92.2
734,0.051,459,10.3,29,85.9
861,0.056,445,46.2,30,105
621,0.032,513,0,31,80.4
552,0.028,478,3.2,32,74.6
615,0.047,436,3.2,33,66.2
885,0.075,367,63.9,34,138
982,0.038,515,78.9,35,123
699,0.028,598,3.2,36,96.7
738,0.028,516,26.3,37,91.5
759,0.038,551,26.3,38,95.8
773,0.047,504,0,39,100.3
824,0.054,515,12.5,40,99
539,0.039,373,0,41,63.9
561,0.047,366,12,42,71.6
660,0.063,332,29.1,43,80.4
556,0.042,354,11.4,44,66.6
704,0.066,335,35.5,45,93.3
679,0.05,355,29.1,46,82.4
802,0.066,367,49.3,47,93.6
804,0.056,412,48.7,48,109
671,0.045,425,11.4,49,76.5
562,0.039,440,0,50,70.6
658,0.055,379,26.3,51,81.6
895,0.035,698,0,52,112
626,0.041,419,20.2,53,86.9
939,0.032,639,17.1,54,113
632,0.049,337,17.1,55,71.4
564,0.036,431,0,56,68.7
796,0.069,380,40.5,57,108
855,0.037,585,20.2,58,115
574,0.042,334,20.2,59,73.6
649,0.042,269,50.1,60,79.9
512,0.033,310,26.3,61,62.5
532,0.035,302,26.3,62,60.5
544,0.033,324,26.3,63,65.4
639,0.043,309,43.4,64,72.7
532,0.031,348,26.3,65,65
730,0.034,425,52.6,66,92.3
554,0.032,349,26.3,67,68.7
701,0.032,316,50.1,68,87.3
512,0.034,369,25.1,69,64.7
565,0.035,325,35.5,70,70.7
691,0.068,322,43.7,71,103
593,0.046,307,29.1,72,88.5
618,0.03,394,26.3,73,75.6
582,0.057,345,20.2,74,82.7
894,0.034,609,52.6,75,123
863,0.027,762,12,76,124
707,0.027,436,43.4,77,91.1
536,0.029,368,17.1,78,67.6
559,0.029,349,26.3,79,68.8
583,0.034,351,0,80,62.3
484,0.039,339,0,81,58.6
537,0.035,337,0,82,59.7
580,0.03,342,0,83,62.7
624,0.059,312,26,84,79.6
556,0.063,314,26,85,68.8
630,0.085,287,52,86,70.7
682,0.052,266,34.1,87,68.4
594,0.042,374,26.3,88,69.9
731,0.045,365,52.6,89,87.4
618,0.028,404,17.1,90,74
450,0.024,398,0,91,50.9
500,0.024,432,0,92,57.4
422,0.035,249,12.5,93,40
484,0.024,435,0,94,57.9
470,0.036,248,12.5,95,42.4
610,0.047,338,25.1,96,60.3
389,0.024,273,0,97,41.6
287,0.024,248,0,98,33.3
301,0.035,241,0,99,34.8
367,0.047,234,0,100,37.5
441,0.063,206,17.1,101,42.8
404,0.036,243,38.8,102,46.8
364,0.035,242,0,103,36.5
388,0.024,254,0,104,40.9
496,0.058,211,20.2,105,59.4
488,0.024,430,0,106,49.5
439,0.049,214,26,107,49
471,0.064,211,26,108,46.9
447,0.028,211,23.8,109,47
508,0.024,445,0,110,59
454,0.056,201,23.8,111,43.1
562,0.077,186,52,112,61.2
552,0.024,480,0,113,54.5
436,0.069,201,20.2,114,55.3
480,0.045,214,17.1,115,45.1
525,0.025,437,0,116,61.4
552,0.091,184,40.5,117,78.2
566,0.025,483,0,118,69.2
367,0.048,211,11.4,119,37.5
410,0.042,219,12.5,120,41.1
454,0.068,187,26.3,121,47.6
477,0.028,397,0,122,51.8
475,0.032,391,0,123,48.4
605,0.052,336,40.5,124,90.2
567,0.038,423,0,125,68.9
557,0.038,422,0,126,69.4
594,0.036,413,0,127,68.7
709,0.035,499,0,128,83.7
384,0.024,326,0,129,46.8
761,0.035,543,0,130,90.4
483,0.031,289,17.1,131,54.4
653,0.074,254,40.5,132,88
608,0.068,249,37.3,133,75.6
651,0.07,247,76.1,134,84.9
563,0.058,274,23.5,135,68.7
522,0.035,270,37.2,136,62.7
514,0.043,259,26.3,137,52.9
417,0.024,367,0,138,49.4
488,0.032,328,17.1,139,57.2
523,0.041,332,20.2,140,70.3
834,0.035,646,0,141,104
444,0.033,340,12,142,57.3
433,0.029,337,12.5,143,52.7
541,0.032,311,26.3,144,59.1
544,0.031,295,26.3,145,57.5
596,0.03,272,43.4,146,66.8
550,0.03,277,26.3,147,55.7
614,0.028,237,43.4,148,80.3
617,0.054,227,43.4,149,68.1
519,0.031,262,35.5,150,59.7
490,0.039,332,0,151,57
607,0.059,313,26,152,71.4
567,0.063,309,26,153,69.1
625,0.085,287,52,154,84.9
632,0.08,278,40.5,155,90.6
518,0.042,325,12.6,156,62.6
615,0.047,409,0,157,64.8
663,0.043,331,52.6,158,80.8
587,0.032,384,26.3,159,71.3
683,0.037,358,38.8,160,74.3
541,0.036,369,0,161,62.3
607,0.056,340,20.2,162,83.1
639,0.023,383,0,163,70.1
558,0.039,363,12.6,164,67.9
784,0.141,263,116,165,106
630,0.036,452,20.2,166,85.7
593,0.027,449,17.1,167,71.6
528,0.038,317,0,168,59
425,0.026,328,0,169,49.8
442,0.043,299,0,170,51.5
507,0.048,283,12.6,171,62.8
483,0.038,304,0,172,54
541,0.045,302,26,173,61.8
523,0.065,258,20.2,174,64.6
540,0.047,305,38.8,175,61.8
516,0.047,282,12.6,176,62.4
501,0.048,280,12.6,177,57.1
645,0.032,433,26.3,178,82.5
1255,0.032,867,52.6,179,176
564,0.039,321,17.1,180,56.8
526,0.035,308,26.3,181,62.6
438,0.024,303,0,182,47
321,0.024,298,0,183,43.4
356,0.034,282,0,184,41.2
390,0.024,300,0,185,46.4
495,0.048,256,26,186,55.6
490,0.026,254,23.8,187,52.2
510,0.04,238,23.8,188,54.7
639,0.075,233,52,189,67.6
629,0.035,212,47.6,190,63.2
650,0.064,209,44,191,84.1
476,0.034,287,38.8,192,53.5
530,0.071,235,32.3,193,71.5
562,0.066,227,32.8,194,66.4
432,0.053,242,25.1,195,48.2
394,0.038,263,12,196,50.8
391,0.036,264,11.4,197,43.4
434,0.043,250,10.3,198,41.8
487,0.043,236,26.3,199,54.2
385,0.069,229,12,200,45
402,0.04,234,12.5,201,42.4
422,0.029,256,11.8,202,51
1388,0.049,728,77.3,203,173
432,0.038,234,11.8,204,43.2
547,0.026,438,22.9,205,59.8
542,0.03,364,17.1,206,63.7
820,0.079,259,74.6,207,117.6
775,0.106,250,74.6,208,112
835,0.099,245,74.6,209,100
515,0.04,369,6.5,210,59.2
591,0.03,355,26.3,211,65.7
1082,0.028,796,26.3,212,141
1244,0.03,875,52.6,213,174
826,0.033,565,26.3,214,103
559,0.031,373,17.1,215,67.4
493,0.024,338,0,216,55.9
523,0.031,328,0,217,54.2
555,0.046,300,26,218,61.9
536,0.027,294,23.8,219,54.2
697,0.029,260,47.6,220,64
526,0.038,286,17.1,221,57.8
687,0.075,255,40.5,222,91.7
708,0.096,235,40.5,223,106
499,0.033,327,38.8,224,60
560,0.04,272,36.3,225,68.5
450,0.05,283,25.1,226,54.5
563,0.04,273,26.3,227,60.4
608,0.05,292,32,228,81.4
575,0.06,270,32.8,229,72.8
520,0.025,358,32.1,230,62.4
390,0.036,287,0,231,44.8
530,0.057,239,24.1,232,71.4
465,0.055,246,12.6,233,51.7
537,0.066,223,37.6,234,58.2
442,0.041,277,12,235,54.1
497,0.053,241,24.6,236,56.5
843,0.073,304,74.6,237,118
517,0.029,429,12,238,69.9
722,0.062,353,52.5,239,112
834,0.077,307,87.1,240,121
1493,0.025,1301,0,241,192
1517,0.044,997,66.8,242,224
583,0.03,414,17.1,243,74.1
639,0.037,365,38.8,244,78
914,0.076,393,74.6,245,132
1074,0.065,509,74.6,246,152.5
609,0.043,347,26,247,68.7
762,0.072,286,40.5,248,98.5
666,0.054,292,34.1,249,73.1
570,0.031,367,38.8,250,66.8
484,0.034,347,11.4,251,56.1
786,0.073,292,64.1,252,88
776,0.081,288,58.3,253,96.6
785,0.083,283,52.5,254,96.7
465,0.031,355,12.5,255,58.6
569,0.033,356,12.5,256,65.4
791,0.087,267,53,257,100
525,0.026,374,11.8,258,67.1
712,0.077,310,52.2,259,109
480,0.038,299,12,260,60.8
746,0.042,366,52.6,261,87.7
498,0.025,421,0,262,63.4
509,0.031,409,0,263,60.7
1208,0.027,1073,3.2,264,197
640,0.041,382,26,265,75.4
814,0.026,340,47.6,266,94.4
599,0.036,380,17.1,267,71
675,0.051,348,32.8,268,86
730,0.062,329,45.3,269,88.3
467,0.042,349,0,270,55.7
508,0.025,464,0,271,70
674,0.04,433,26,272,82.2
670,0.031,452,38.8,273,80.5
744,0.058,381,45.3,274,94.8
667,0.039,401,25.1,275,81
566,0.032,429,12,276,77
655,0.05,377,37.6,277,76.3
608,0.025,552,0,278,84
1039,0.03,784,12,279,138
767,0.029,477,26.3,280,88.9
741,0.037,441,38.8,281,90.4
823,0.029,522,26.3,282,95.7
876,0.04,463,51.4,283,99.9
920,0.029,601,26.3,284,110
729,0.039,464,26,285,89.2
763,0.035,440,26.3,286,87.5
912,0.068,398,76.1,287,115
772,0.048,433,32.8,288,99.7
941,0.079,370,65.5,289,122
664,0.051,345,37.3,290,87.3
774,0.034,501,17.1,291,91.5
821,0.034,479,26.3,292,94.4
863,0.051,457,45.3,293,108
752,0.041,465,37.6,294,90.7
686,0.057,387,20.2,295,87.7
695,0.025,599,0,296,91.5
696,0.029,589,0,297,87.9
809,0.033,550,17.1,298,98.6
869,0.049,488,50.1,299,98.5
872,0.033,593,17.1,300,106
863,0.03,623,38.8,301,109
1182,0.069,499,88.1,302,144
796,0.029,605,12.5,303,100
941,0.049,538,45.3,304,122
1101,0.074,483,78.1,305,145
1178,0.033,881,26.3,306,164
943,0.036,644,37.6,307,117
657,0.039,428,0,308,76.1
1207,0.041,832,37.3,309,171
1121,0.026,935,0,310,152.3
1055,0.079,444,74.6,311,149
249,0.038,200,0,312,28.3
301,0.047,184,12.5,313,33
297,0.03,244,0,314,33
838,0.109,299,80.9,315,117
592,0.066,204,37.3,316,68.5
567,0.054,300,37.3,317,77.4
1218,0.036,996,52.6,318,193
621,0.047,369,37.3,319,82.5
492,0.024,424,0,320,51
781,0.011,262,21.6,321,41.5
696,0.056,334,37.3,322,99.5
715,0.066,345,37.3,323,96.5
438,0.047,236,23.8,324,53.6
779,0.074,338,57.5,325,115
1194,0.052,699,75.2,326,144
404,0.026,344,0,327,46.2
708,0.063,361,46.5,328,102
644,0.036,364,11.8,329,67.2
544,0.039,402,0,330,65.4
646,0.048,336,12.6,331,70.9
774,0.072,347,54.4,332,108
729,0.042,443,0,333,92.1
880,0.055,555,26.3,334,109
832,0.035,489,11.8,335,99
621,0.084,265,40.5,336,86.6
491,0.033,264,17.1,337,50.9
409,0.035,282,3.2,338,44.5
944,0.034,415,42.3,339,90.4
835,0.065,399,48.7,340,101.7
785,0.069,370,48.7,341,88.8
444,0.03,346,3.2,342,53.5
534,0.048,362,3,343,62.3
733,0.039,352,37.2,344,75.8
1088,0.058,408,121.2,345,131
712,0.049,414,24,346,76.2
815,0.057,479,24.1,347,106
736,0.055,378,20.2,348,91.4
1001,0.034,766,0,349,127
1061,0.033,821,0,350,134
641,0.028,404,17.1,351,74.4
608,0.059,346,20.2,352,84.5
720,0.069,299,37.3,353,92.3
712,0.027,555,17.1,354,87.6
554,0.029,375,17.1,355,67.7
756,0.036,458,52.6,356,98.9
409,0.043,209,17.1,357,45.1
451,0.079,192,29.1,358,52.6
640,0.04,319,37.3,359,77.1
632,0.039,288,34.1,360,64.9
666,0.063,244,46.2,361,83.1
626,0.03,354,43.4,362,78.7
565,0.038,342,37.6,363,64.4
444,0.04,255,17.1,364,51.4
480,0.052,250,17.1,365,50.8
412,0.046,233,12,366,47.3
774,0.051,293,54.4,367,90
1461,0.03,1048,52.6,368,208
573,0.035,353,26.3,369,68.7
514,0.05,237,25.1,370,51.5
603,0.032,391,26.3,371,71.8
1390,0.028,1029,26.3,372,188
971,0.061,475,74.6,373,146
522,0.053,338,12,374,59
895,0.072,358,74.6,375,110
785,0.059,366,52,376,87.9
553,0.031,460,0,377,67.6
645,0.035,417,17.1,378,77.7
900,0.039,561,51.4,379,113
593,0.025,505,0,380,76.9
684,0.034,465,17.1,381,84.5
912,0.037,589,26,382,111
327,0.049,182,12,383,38.3
675,0,316,6.8,384,44.9
612,0.028,294,42.2,385,68.8
416,0.037,269,0,386,39.5
631,0.071,217,54.4,387,79
559,0.011,303,0,388,49.2
494,0.043,268,20.1,389,52.7
1034,0.046,715,37.3,390,119
531,0.026,415,0,391,45.2
762,0.032,600,20.2,392,86.9
779,0.041,467,0,393,98
888,0.034,604,52.6,394,130
501,0.03,397,0,395,67.6
572,0.031,454,0,396,63.8
1191,0.038,1017,20.2,397,202
713,0.047,404,13.1,398,80.9
727,0.04,421,11.8,399,90.3
402,0.032,329,0,400,48.4
805,0.05,540,45.3,401,103
899,0.115,288,115.1,402,159
865,0.03,695,0,403,109.8
508,0.031,411,0,404,60.9
533,0.024,465,0,405,53.8
560,0.036,418,0,406,68.1
542,0.037,400,0,407,59.7
560,0.038,427,0,408,66.8
757,0.044,498,26.3,409,94.9
667,0.056,293,63.6,410,93.2
679,0.04,438,20.2,411,80
464,0.046,253,26,412,52.4
538,0.025,456,0,413,65.5
792,0.063,379,37.3,414,101
694,0.049,409,26.3,415,82.5
713,0.06,332,41.3,416,84.3
821,0.049,567,20.2,417,100
530,0.042,305,26.3,418,60.2
734,0.048,444,52.6,419,97.9
635,0.037,377,26.3,420,73.3
552,0.085,190,46.3,421,67
579,0.086,165,37.3,422,65.8
585,0.028,418,38.8,423,58
477,0.037,268,26.3,424,56.1
527,0.038,308,17.1,425,57.2
769,0.081,233,74.6,426,105.1
571,0.036,432,0,427,69.2
687,0.037,353,43.4,428,79.1
453,0.023,297,0,429,49.2
328,0.039,253,0,430,38.2
423,0.025,380,0,431,56.7
487,0.034,360,12,432,63.7
677,0.034,433,26.3,433,82.1
588,0.03,435,12.5,434,72.3
771,0.031,543,38.8,435,94.6
837,0.032,559,26.3,436,103
812,0.026,635,0,437,101
1046,0.049,579,62.7,438,121
1006,0.037,725,26,439,112
691,0.029,502,38.8,440,87.4
1170,0.032,907,0,441,157
1016,0.033,834,0,442,142
867,0.056,452,52.6,443,100.7
445,0.032,377,0,444,54.9
452,0.031,377,0,445,54.6
1172,0.032,958,0,446,166
504,0.032,331,0,447,54.1
667,0.065,356,32.9,448,90
499,0.031,410,0,449,61.7
502,0.03,415,0,450,61.1
502,0.03,413,0,451,61.1
727,0.052,375,55.9,452,82.6
619,0.056,336,40.5,453,97.3
703,0.046,413,37.3,454,96.7
663,0.062,314,31.7,455,83.6
522,0.024,198,3.4,456,36.9
344,0.053,166,12,457,34.8
659,0.008,280,5.1,458,43.6
913,0.053,679,0,459,116
