T (K),A,F,G,X1,X9,X10,X11,X13,X18,X20,Y1,Y2,Y5,Y14,Y15,Y17,Y23,Viscosity
253.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,9.96
263.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,7.25
273.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,5.27
278.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,4.59
283.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,3.87
288.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,3.32
293.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,2.94
298.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,2.57
300.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,2.38
303.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,2.25
308.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,1.99
313.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,1.78
318.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,1.58
323.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,1.39
328.1,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0,1.25
418.1,102.2,3637.1,-19.5,6,0.78467909,8.292883,2.164062,0.01418356,0.120072,26.237087,14,1,0,0,0,1,0,2.31
243.1,60.1,2084.4,-17.4,3,0.78977273,7.875,1.930556,-0.000122167,0.188394,24.432595,8,1,0,0,0,1,0,9.84
253.1,60.1,2084.4,-17.4,3,0.78977273,7.875,1.930556,-0.000122167,0.188394,24.432595,8,1,0,0,0,1,0,6.98
263.1,60.1,2084.4,-17.4,3,0.78977273,7.875,1.930556,-0.000122167,0.188394,24.432595,8,1,0,0,0,1,0,5.06
273.1,60.1,2084.4,-17.4,3,0.78977273,7.875,1.930556,-0.000122167,0.188394,24.432595,8,1,0,0,0,1,0,3.81
283.1,60.1,2084.4,-17.4,3,0.78977273,7.875,1.930556,-0.000122167,0.188394,24.432595,8,1,0,0,0,1,0,2.87
288.1,60.1,2084.4,-17.4,3,0.78977273,7.875,1.930556,-0.000122167,0.188394,24.432595,8,1,0,0,0,1,0,2.32
293.1,60.1,2084.4,-17.4,3,0.78977273,7.875,1.930556,-0.000122167,0.188394,24.432595,8,1,0,0,0,1,0,2.22
298.1,60.1,2084.4,-17.4,3,0.78977273,7.875,1.930556,-0.000122167,0.188394,24.432595,8,1,0,0,0,1,0,1.94
303.1,60.1,2084.4,-17.4,3,0.78977273,7.875,1.930556,-0.000122167,0.188394,24.432595,8,1,0,0,0,1,0,1.71
308.1,60.1,2084.4,-17.4,3,0.78977273,7.875,1.930556,-0.000122167,0.188394,24.432595,8,1,0,0,0,1,0,1.5
313.1,60.1,2084.4,-17.4,3,0.78977273,7.875,1.930556,-0.000122167,0.188394,24.432595,8,1,0,0,0,1,0,1.38
318.1,60.1,2084.4,-17.4,3,0.78977273,7.875,1.930556,-0.000122167,0.188394,24.432595,8,1,0,0,0,1,0,1.23
298.1,172.3,2141.1,-16.8,11,0.79365079,8.538923,2.251238,0.09978702,0.089567,31.279479,24,1,0,0,0,1,0,9.1
293.1,90.1,4164.1,-19.7,5,0.61042184,16.501434,1.820324,0.05984828,0.245896,38.177432,10,1,0,0,0,2,0,8.95
288.1,74.1,2599.7,-18.8,4,0.63717949,8.361111,3.726852,0.04621589,0.156413,20.131826,10,2,0,0,0,1,0,4.65
293.1,74.1,2599.7,-18.8,4,0.63717949,8.361111,3.726852,0.04621589,0.156413,20.131826,10,2,0,0,0,1,0,3.53
298.1,74.1,2599.7,-18.8,4,0.63717949,8.361111,3.726852,0.04621589,0.156413,20.131826,10,2,0,0,0,1,0,3.08
303.1,74.1,2599.7,-18.8,4,0.63717949,8.361111,3.726852,0.04621589,0.156413,20.131826,10,2,0,0,0,1,0,2.67
308.1,74.1,2599.7,-18.8,4,0.63717949,8.361111,3.726852,0.04621589,0.156413,20.131826,10,2,0,0,0,1,0,2.31
313.1,74.1,2599.7,-18.8,4,0.63717949,8.361111,3.726852,0.04621589,0.156413,20.131826,10,2,0,0,0,1,0,1.8
288.1,102.2,5720.2,-22.1,6,0.60049628,8.683473,3.956389,0.03695072,0.128911,21.857654,14,2,0,0,0,1,0,8.02
298.1,102.2,5720.2,-22.1,6,0.60049628,8.683473,3.956389,0.03695072,0.128911,21.857654,14,2,0,0,0,1,0,5.84
308.1,102.2,5720.2,-22.1,6,0.60049628,8.683473,3.956389,0.03695072,0.128911,21.857654,14,2,0,0,0,1,0,3.97
318.1,102.2,5720.2,-22.1,6,0.60049628,8.683473,3.956389,0.03695072,0.128911,21.857654,14,2,0,0,0,1,0,2.77
328.1,102.2,5720.2,-22.1,6,0.60049628,8.683473,3.956389,0.03695072,0.128911,21.857654,14,2,0,0,0,1,0,2.02
295.6,74.1,2917,-19.8,4,0.60341556,8.520833,5.229167,0.00312172,0.170575,19.219937,10,3,0,0,0,1,0,5.89
298.1,74.1,2917,-19.8,4,0.60341556,8.520833,5.229167,0.00312172,0.170575,19.219937,10,3,0,0,0,1,0,4.44
299.6,74.1,2917,-19.8,4,0.60341556,8.520833,5.229167,0.00312172,0.170575,19.219937,10,3,0,0,0,1,0,4.17
303.1,74.1,2917,-19.8,4,0.60341556,8.520833,5.229167,0.00312172,0.170575,19.219937,10,3,0,0,0,1,0,3.38
305.2,74.1,2917,-19.8,4,0.60341556,8.520833,5.229167,0.00312172,0.170575,19.219937,10,3,0,0,0,1,0,3
308.1,74.1,2917,-19.8,4,0.60341556,8.520833,5.229167,0.00312172,0.170575,19.219937,10,3,0,0,0,1,0,2.59
310.4,74.1,2917,-19.8,4,0.60341556,8.520833,5.229167,0.00312172,0.170575,19.219937,10,3,0,0,0,1,0,2.37
313.1,74.1,2917,-19.8,4,0.60341556,8.520833,5.229167,0.00312172,0.170575,19.219937,10,3,0,0,0,1,0,2.05
315.6,74.1,2917,-19.8,4,0.60341556,8.520833,5.229167,0.00312172,0.170575,19.219937,10,3,0,0,0,1,0,1.91
321,74.1,2917,-19.8,4,0.60341556,8.520833,5.229167,0.00312172,0.170575,19.219937,10,3,0,0,0,1,0,1.55
326.1,74.1,2917,-19.8,4,0.60341556,8.520833,5.229167,0.00312172,0.170575,19.219937,10,3,0,0,0,1,0,1.3
331.1,74.1,2917,-19.8,4,0.60341556,8.520833,5.229167,0.00312172,0.170575,19.219937,10,3,0,0,0,1,0,1.1
288.1,116.2,3300,-20.7,7,0.62034739,8.989028,4.155463,0.0706935,0.108476,20.340841,16,2,0,0,0,1,0,9.17
291.5,116.2,3300,-20.7,7,0.62034739,8.989028,4.155463,0.0706935,0.108476,20.340841,16,2,0,0,0,1,0,7.17
298.1,116.2,3300,-20.7,7,0.62034739,8.989028,4.155463,0.0706935,0.108476,20.340841,16,2,0,0,0,1,0,5.38
301.3,116.2,3300,-20.7,7,0.62034739,8.989028,4.155463,0.0706935,0.108476,20.340841,16,2,0,0,0,1,0,4.42
308.1,116.2,3300,-20.7,7,0.62034739,8.989028,4.155463,0.0706935,0.108476,20.340841,16,2,0,0,0,1,0,3.49
311.5,116.2,3300,-20.7,7,0.62034739,8.989028,4.155463,0.0706935,0.108476,20.340841,16,2,0,0,0,1,0,2.99
327,116.2,3300,-20.7,7,0.62034739,8.989028,4.155463,0.0706935,0.108476,20.340841,16,2,0,0,0,1,0,1.69
346.6,116.2,3300,-20.7,7,0.62034739,8.989028,4.155463,0.0706935,0.108476,20.340841,16,2,0,0,0,1,0,1.02
288.1,102.2,3108.9,-20.2,6,0.61662531,8.857917,4.082546,0.05714304,0.116714,19.732984,14,2,0,0,0,1,0,8.73
298.1,102.2,3108.9,-20.2,6,0.61662531,8.857917,4.082546,0.05714304,0.116714,19.732984,14,2,0,0,0,1,0,4.81
