Ni,Al,Co,Cr,Mo,Re,Ru,Ta,W,Hf,Nb,Ti,Ir,Temperature,Dendrite Location,Specimen Thickness,Measured Misfit
62.2,5.6,10,6.5,0.6,3,0,6,6,0.1,0,0,0,25,1,0,-1.0786
68.7,5.5,5,8.5,0,0,0,2.8,9.5,0,0,0,0,25,0,0,-2.1864
68.7,5.5,5,8.5,0,0,0,2.8,9.5,0,0,0,0,25,1,0,-1.1466
74.7,3.5,0,15.4,2.8,0,0,3.6,0,0,0,0,0,25,0,0,2.4332
74.7,3.5,0,15.4,2.8,0,0,3.6,0,0,0,0,0,25,1,0,1.5998
62.2,5.6,10,6.5,0.6,3,0,6,6,0.1,0,0,0,25,0,0,-3.7926
69.77,5.7,3,2,0.4,6,0,8,5,0.03,0.1,0,0,800,0,1,-3.3
69.77,5.7,3,2,0.4,6,0,8,5,0.03,0.1,0,0,25,0,0,-5.7
69.77,5.7,3,2,0.4,6,0,8,5,0.03,0.1,0,0,800,1,1,1.3
69.77,5.7,3,2,0.4,6,0,8,5,0.03,0.1,0,0,25,1,0,1.1
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,25,2,0,0.4755
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,200,2,0,0.5894
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,300,2,0,0.5552
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,400,2,0,0.5546
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,500,2,0,0.5539
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,600,2,0,0.2725
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,650,2,0,0.214
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,700,2,0,-0.276
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,750,2,0,0
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,800,2,0,-0.2164
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,850,2,0,-0.3908
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,900,2,0,-0.5884
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,950,2,0,-1.098
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,1000,2,0,-1.0879
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,1050,2,0,-1.4768
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,100,2,0,-0.743
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,200,2,0,-0.744
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,300,2,0,-0.571
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,400,2,0,-0.7923
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,500,2,0,-1.0599
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,600,2,0,-0.7478
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,650,2,0,-0.9106
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,700,2,0,-0.9691
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,750,2,0,-1.1203
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,800,2,0,-1.144
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,850,2,0,-1.1908
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,900,2,0,-1.4464
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,950,2,0,-1.3657
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,1000,2,0,-1.6097
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,1050,2,0,-1.9579
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,1100,2,0,-2.0502
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,100,2,0,0.1498
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,200,2,0,0.1952
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,300,2,0,0.1942
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,400,2,0,0.0889
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,500,2,0,-0.1383
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,600,2,0,-0.1381
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,650,2,0,-0.138
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,700,2,0,-0.1807
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,750,2,0,-0.1116
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,800,2,0,-0.228
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,850,2,0,-0.4126
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,900,2,0,-0.287
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,950,2,0,-0.4846
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,1000,2,0,-0.4112
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,1050,2,0,-0.613
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,1100,2,0,-0.7411
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,25,2,0,0.7907
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,100,2,0,0.741
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,200,2,0,0.7749
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,300,2,0,0.7275
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,400,2,0,0.7265
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,500,2,0,0.5749
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,600,2,0,0.5855
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,700,2,0,-0.2761
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,750,2,0,0
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,800,2,0,-0.2756
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,850,2,0,-0.2752
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,900,2,0,-0.2749
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,950,2,0,-0.549
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,1000,2,0,-1.0965
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,1050,2,0,-0.8211
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,1100,2,0,-1.2409
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,25,2,0,0.4733
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,100,2,0,0.486
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,200,2,0,0.3807
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,300,2,0,0.2522
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,400,2,0,0.3324
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,500,2,0,0.3082
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,600,2,0,0.3652
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,650,2,0,0
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,700,2,0,-0.2761
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,750,2,0,-0.2758
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,800,2,0,-0.5511
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,850,2,0,0
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,900,2,0,-0.1594
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,950,2,0,-0.4266
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,1000,2,0,-0.4676
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,1050,2,0,-0.5666
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,25,2,0,-0.6782
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,100,2,0,-0.685
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,200,2,0,-0.4773
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,300,2,0,-0.7797
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,400,2,0,-0.8966
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,500,2,0,-0.8396
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,600,2,0,-0.7942
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,650,2,0,-0.7947
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,700,2,0,-0.9459
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,750,2,0,-1.0159
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,850,2,0,-1.0633
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,900,2,0,-1.0406
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,950,2,0,-1.1802
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,1000,2,0,-1.2154
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,1050,2,0,-1.4246
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,1100,2,0,-1.8107
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,25,2,0,0.3126
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,100,2,0,0.2193
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,200,2,0,-0.2783
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,300,2,0,-0.2779
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,400,2,0,-0.2775
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,500,2,0,-0.2019
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,600,2,0,-0.2145
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,650,2,0,-0.215
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,700,2,0,-0.2039
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,750,2,0,-0.529
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,800,2,0,-0.9005
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,850,2,0,-0.6459
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,900,2,0,-0.9014
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,1000,2,0,-1.343
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,1050,2,0,-2.1435
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,1100,2,0,-2.2961
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,25,2,0,-0.1593
58.3,3.4,9,12.5,1.9,3,0,4,4,0,0,3.9,0,25,2,0,-1.1057
58.3,3.4,9,9.5,1.9,3,3,4,4,0,0,3.9,0,25,2,0,-1.3107
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,25,2,0,0.4874
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,25,2,0,-0.3565
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,0,1100,2,0,-1.4592
61.3,3.4,9,12.5,1.9,0,0,4,4,0,0,3.9,3,650,2,0,0
61.3,3.4,9,9.5,1.9,3,0,4,4,0,0,3.9,3,1100,2,0,-0.5359
61.1,5.7,9.5,6.4,0.6,2.9,0,6.5,6.3,0,0,1,0,800,2,0,-0.9584
69.6,4.7,5.2,10.3,3.2,0,0,2.2,0,0,0,4.8,0,950,2,0,-1.1222
63.8,5.2,6.5,7.8,2,0,0,7.9,5.7,0,0,1.1,0,1100,2,1,-2.9524
63.8,5.2,6.5,7.8,2,0,0,7.9,5.7,0,0,1.1,0,950,2,1,-2.254
63.8,5.2,6.5,7.8,2,0,0,7.9,5.7,0,0,1.1,0,1050,2,1,-2.7619
63.8,5.2,6.5,7.8,2,0,0,7.9,5.7,0,0,1.1,0,1150,2,1,-3.0476
63.8,5.2,6.5,7.8,2,0,0,7.9,5.7,0,0,1.1,0,1200,2,1,-3.1111
